Company_Name,Ticker,Sub_Sector,Market_Cap,Close_Price,PE_Ratio,5Y_Historical_Revenue_Growth,1Y_Forward_Revenue_Growth,Total_Revenue,PBT,Taxes_And_Other_Items,DII_Holding_Change_3M,FII_Holding_Change_3M,MF_Holding_Change_3M,Promoter_Holding_Change_3M,Percentage_Buy_Records,No_Of_Analysts_With_Buy_Reco,Percentage Upside,Net_Profit,Profit_Margin,PS_Ratio,Earnings_Yield,Revenue_Growth,Total_Institutional_Holding_Change,Change_Retail_Holding,Composite_Score
Jindal Steel And Power Ltd,JINDALSTEL,Iron & Steel,50946.92146,515,8.855636829,18.7756534,2.611683849,51216,9690.49,3937.44,-0.871905674,0.379635838,-0.999550238,0.753344738,65.2173913,15,2.330097087,5753.05,18.92082552,0.994746202,0.190207567,9.947402621,-1.491820074,0.738475336,4.63019281
Fsn E-Commerce Ventures Ltd,NYKAA,Wellness Services,50899.11373,175.7,1238.722651,0,38.50893602,3800.91,47.32,6.23,-0.083306973,-0.400979698,0.118137608,-0.017681136,75,15,47.12602732,41.09,1.244965022,13.39129675,0.000929682,-0.925786668,-0.366149063,0.383830199,-309.6924054
Info Edge (India) Ltd,NAUKRI,Online Services,50708.33545,3961.15,3.97414452,73.82161491,-85.89405408,15399.46,14200.11,1440.55,0.507158556,-0.908592469,-0.86924809,0,52.38095238,11,23.82767631,12759.56,92.21173989,3.292864519,0.280035025,3.051519241,-1.270682003,1.270682003,22.50460815
TVS Motor Company Ltd,TVSMOTOR,Two Wheelers,50355.23262,1060.5,66.53528265,14.07120863,6.899892459,24390.67,1066.79,309.97,-3.13426834,2.783495829,-1.066670691,0,57.5,23,15.37010844,756.82,4.37376259,2.06452847,0.021185286,0.583865278,-1.417443202,1.417443202,-15.7487745
Bosch Ltd,BOSCHLTD,Auto Parts,50033.74617,16973.6,41.06849394,1.418610537,0,12177.8,1499.9,281.6,-0.153324581,0.058982208,1.312822019,0,40,2,0.774143376,1218.3,12.3166746,4.108603046,0.029977767,-0.500718922,1.218479646,-1.218479646,-7.008514653
Samvardhana Motherson International Ltd,MOTHERSON,Auto Parts,49508.35116,73.3,56.65867608,8.507113334,14.14102053,64411.9,1788.4,914.6,0.06880375,-0.739878046,0.102467802,0,75,15,28.24010914,873.8,2.776505584,0.768621189,0.036123199,4.289288706,-0.568606494,0.568606494,-12.54037207
Macrotech Developers Ltd,LODHA,Real Estate,48124.12641,997.3,40.02439051,2.396275704,2.247355208,9580.15,1716.54,514.17,0.832118962,-0.618019671,0.022027878,-0.003072147,73.33333333,11,30.55249173,1202.37,17.91767352,5.023316588,0.035669011,-0.85126739,0.236127169,-0.233055022,-5.680464302
ACC Ltd,ACC,Cement,47429.57603,2514.05,25.45884628,8.03529541,20.4247341,16370.03,2506.38,643.39,-1.616363619,-0.679644071,-0.567913917,2.157475931,53.84615385,21,-3.402875838,1862.99,15.3107844,2.897342035,0.052844242,0.708744644,-2.863921607,0.706445676,-3.07580971
Container Corporation of India Ltd,CONCOR,Logistics,46585.33976,765,44.15169816,4.807476044,5.78074577,8041.35,1394.47,339.35,1.045900396,0.40681372,0.092150207,0,56,14,2.614379085,1055.12,17.34124245,5.793223745,0.029933666,-0.508776099,1.544864323,-1.544864323,-6.443591871
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines",46258.22348,325.85,-186.7359256,-5.011062429,68.64735048,3227,-258.18,-10.46,-0.235653755,1.184067003,1.138862611,0,71.42857143,10,11.24750652,-247.72,-8.000619771,14.33474542,-0.005581278,-0.598699223,2.087275859,-2.087275859,45.05597062
Patanjali Foods Ltd,PATANJALI,Packaged Foods & Meats,46235.64713,1246.3,57.34156059,5.404339558,31.5095829,24284.39,1074.39,268.07,1.515650832,-0.113317081,0.067866435,0,100,1,38.40969269,806.32,4.424200073,1.903924584,0.023237265,6.525376511,1.470200186,-1.470200186,-11.23044596
